State,RegistrationCount
AL,8730
AK,1970
AZ,65780
AR,5140
CA,903620
CO,59910
CT,22030
DE,5390
DC,5860
FL,167990
GA,60120
HI,19760
ID,5940
IL,66880
IN,17710
IA,6220
KS,7550
KY,7560
LA,5880
ME,4990
MD,46060
MA,49440
MI,33150
MN,24330
MS,2420
MO,17870
MT,3260
NE,4570
NV,32950
NH,6990
NJ,87030
NM,7080
NY,84670
NC,45590
ND,640
OH,34060
OK,16290
OR,46980
PA,47440
RI,4340
SC,13490
SD,1170
TN,22040
TX,149000
UT,28050
VT,5260
VA,56610
WA,104050
WV,1870
WI,15700
WY,840
Total,2442270
