Region,Year,Generation
Northeast,2014,3796
South,2014,2580
Midwest,2014,549
West,2014,21995
Northeast,2015,4782
South,2015,3677
Midwest,2015,703
West,2015,29874
Northeast,2016,6063
South,2016,7678
Midwest,2016,929
West,2016,40198
Northeast,2017,7543
South,2017,13938
Midwest,2017,1917
West,2017,53881
Northeast,2018,9379
South,2018,20003
Midwest,2018,2794
West,2018,61187
Northeast,2019,11075
South,2019,25978
Midwest,2019,3451
West,2019,66393
Northeast,2020,13474
South,2020,38131
Midwest,2020,4617
West,2020,74503
Northeast,2021,15556
South,2021,54777
Midwest,2021,7656
West,2021,86437
Northeast,2022,20133
South,2022,72863
Midwest,2022,11340
West,2022,100744
Northeast,2023,16804
South,2023,60828
Midwest,2023,10718
West,2023,78271
