State,Date,Count
All solar : United States,Jan 2014,1375
All solar : United States,Feb 2014,1499
All solar : United States,Mar 2014,2224
All solar : United States,Apr 2014,2476
All solar : United States,May 2014,2842
All solar : United States,Jun 2014,3024
All solar : United States,Jul 2014,2936
All solar : United States,Aug 2014,3019
All solar : United States,Sep 2014,2879
All solar : United States,Oct 2014,2682
All solar : United States,Nov 2014,2171
All solar : United States,Dec 2014,1798
All solar : United States,Jan 2015,1902
All solar : United States,Feb 2015,2299
All solar : United States,Mar 2015,3206
All solar : United States,Apr 2015,3643
All solar : United States,May 2015,3898
All solar : United States,Jun 2015,3966
All solar : United States,Jul 2015,4114
All solar : United States,Aug 2015,4156
All solar : United States,Sep 2015,3547
All solar : United States,Oct 2015,3107
All solar : United States,Nov 2015,2712
All solar : United States,Dec 2015,2484
All solar : United States,Jan 2016,2465
All solar : United States,Feb 2016,3386
All solar : United States,Mar 2016,4143
All solar : United States,Apr 2016,4583
All solar : United States,May 2016,5304
All solar : United States,Jun 2016,5401
All solar : United States,Jul 2016,5945
All solar : United States,Aug 2016,5911
All solar : United States,Sep 2016,5370
All solar : United States,Oct 2016,4743
All solar : United States,Nov 2016,4024
All solar : United States,Dec 2016,3591
All solar : United States,Jan 2017,3570
All solar : United States,Feb 2017,4135
All solar : United States,Mar 2017,6487
All solar : United States,Apr 2017,7102
All solar : United States,May 2017,8208
All solar : United States,Jun 2017,8602
All solar : United States,Jul 2017,8124
All solar : United States,Aug 2017,7848
All solar : United States,Sep 2017,7285
All solar : United States,Oct 2017,6640
All solar : United States,Nov 2017,4770
All solar : United States,Dec 2017,4507
All solar : United States,Jan 2018,4938
All solar : United States,Feb 2018,5663
All solar : United States,Mar 2018,7490
All solar : United States,Apr 2018,8796
All solar : United States,May 2018,9860
All solar : United States,Jun 2018,10474
All solar : United States,Jul 2018,9901
All solar : United States,Aug 2018,9712
All solar : United States,Sep 2018,8635
All solar : United States,Oct 2018,7361
All solar : United States,Nov 2018,5648
All solar : United States,Dec 2018,4885
All solar : United States,Jan 2019,5483
All solar : United States,Feb 2019,5895
All solar : United States,Mar 2019,8813
All solar : United States,Apr 2019,9997
All solar : United States,May 2019,10711
All solar : United States,Jun 2019,11575
All solar : United States,Jul 2019,11893
All solar : United States,Aug 2019,11488
All solar : United States,Sep 2019,10022
All solar : United States,Oct 2019,8926
All solar : United States,Nov 2019,6592
All solar : United States,Dec 2019,5500
All solar : United States,Jan 2020,6771
All solar : United States,Feb 2020,8184
All solar : United States,Mar 2020,9774
All solar : United States,Apr 2020,11736
All solar : United States,May 2020,13921
All solar : United States,Jun 2020,13923
All solar : United States,Jul 2020,15015
All solar : United States,Aug 2020,13514
All solar : United States,Sep 2020,11454
All solar : United States,Oct 2020,10395
All solar : United States,Nov 2020,8453
All solar : United States,Dec 2020,7580
All solar : United States,Jan 2021,8309
All solar : United States,Feb 2021,9270
All solar : United States,Mar 2021,13454
All solar : United States,Apr 2021,15502
All solar : United States,May 2021,17520
All solar : United States,Jun 2021,17304
All solar : United States,Jul 2021,17384
All solar : United States,Aug 2021,16891
All solar : United States,Sep 2021,15584
All solar : United States,Oct 2021,13089
All solar : United States,Nov 2021,11054
All solar : United States,Dec 2021,9061
All solar : United States,Jan 2022,11198
All solar : United States,Feb 2022,12744
All solar : United States,Mar 2022,16816
All solar : United States,Apr 2022,19073
All solar : United States,May 2022,21357
All solar : United States,Jun 2022,22282
All solar : United States,Jul 2022,22204
All solar : United States,Aug 2022,20697
All solar : United States,Sep 2022,18831
All solar : United States,Oct 2022,16964
All solar : United States,Nov 2022,12438
All solar : United States,Dec 2022,10475
All solar : United States,Jan 2023,11964
All solar : United States,Feb 2023,13642
All solar : United States,Mar 2023,18131
All solar : United States,Apr 2023,21502
All solar : United States,May 2023,24462
All solar : United States,Jun 2023,25034
All solar : United States,Jul 2023,26539
All solar : United States,Aug 2023,25350
All solar : New England,Jan 2014,51
All solar : New England,Feb 2014,59
All solar : New England,Mar 2014,83
All solar : New England,Apr 2014,95
All solar : New England,May 2014,112
All solar : New England,Jun 2014,116
